"id","time","arena","latitude","longitude","imagem"
"1","ATLANTA HAWKS","State Farm Arena","33.7572935","-84.3985131",NULL
"2","BOSTON CELTICS","TD Garden","42.366198","-71.062146",NULL
"3","BROOKLYN NETS","Barclays Center","40.6837282","-73.9781808",NULL
"4","CHARLOTTE HORNETS","Spectrum Center","35.2251563","-80.8415798",NULL
"5","CHICAGO BULLS","United Center","41.8806948","-87.6763646",NULL
"6","CLEVELAND CAVALIERS","Quicken Loans Arena","41.4965514","-81.6902461",NULL
"7","DALLAS MAVERICKS","American Airlines Center","32.7903908","-96.8190094",NULL
"8","DENVER NUGGETS","Ball Arena","39.7486606","-105.0097915",NULL
"9","DETROIT PISTONS","Little Caesars Arena","42.3411065","-83.057456",NULL
"10","GOLDEN STATE WARRIORS","Chase Center","37.7680508","-122.3899037",NULL
"11","HOUSTON ROCKETS","Toyota Center","29.750765","-95.3642892",NULL
"12","INDIANA PACERS","Bankers Life Fieldhouse","39.7640475","-86.1577254",NULL
"13","LOS ANGELES CLIPPERS","Staples Center","33.7572935","-118.2694428",NULL
"14","LOS ANGELES LAKERS","Staples Center","33.7572935","-118.2694428",NULL
"15","MEMPHIS GRIZZLIES","FedExForum","35.1381462","-90.0527751",NULL
"16","MIAMI HEAT","AmericanAirlines Arena","25.7814062","-80.1891577",NULL
"17","MILWAUKEE BUCKS","Fiserv Forum","43.0450841","-87.9195749",NULL
"18","MINNESOTA TIMBERWOLVES","Target Center","44.9794671","-93.2782834",NULL
"19","NEW ORLEANS PELICANS","Smoothie King Center","29.9490397","-90.0842455",NULL
"20","NEW YORK KNICKS","Madison Square Garden","40.7463549","-73.9933644",NULL
"21","OKLAHOMA CITY THUNDER","Chesapeake Energy Arena","35.463429","-97.5173025",NULL
"22","ORLANDO MAGIC","Amway Center","28.5392261","-81.3860422",NULL
"23","PHILADELPHIA 76ERS","Wells Fargo Center","39.9012015","-75.189489",NULL
"24","PHOENIX SUNS","Talking Stick Resort Arena","33.4457415","-112.073389",NULL
"25","PORTLAND TRAIL BLAZERS","Moda Center","45.5315688","-122.669031",NULL
"26","SACRAMENTO KINGS","Golden 1 Center","38.5802087","-121.5018489",NULL
"27","SAN ANTONIO SPURS","AT&T Center","29.4270248","-98.4396539",NULL
"28","TORONTO RAPTORS","Air Canada Centre","43.64347","-79.3812876",NULL
"29","UTAH JAZZ","EnergySolutions Arena","40.7692359","-111.9038243",NULL
"30","WASHINGTON WIZARDS","Capital One Arena","38.8981717","-77.0230455",NULL
